after,complaint
mbanking lot transaksi lelet banget lokasi nyala ,1.0
kartu kadaluwarsa urus semua cabang bca,0.0
bca mobile merah y  ,1.0
bca mobile merah y  ,1.0
ngisi pulsa bca mobile  pulsa kaga masuk masuk  au dahh nyangkut dmn   ,1.0
crash mybca not responding ulang kali restart hp ,1.0
mbanking bca kusut nggk tarik tunai,1.0
aja daah butuh duit error bca,1.0
bca mobile suraaaam error lgi ,1.0
ngisi pulsa bca mobile  pulsa kaga masuk masuk  au dahh nyangkut dmn   ,1.0
bca mobile lg eror,1.0
bca bikin susah aja error mulu,1.0
crash mybca not responding ulang kali restart hp ,1.0
bca bikin susah aja error mulu,1.0
kode otp gk masuk masuk via sms   hadehhhh minnn,1.0
bayar qris hasil aplikasi  riwayat merchant nggak masuk ,1.0
logout  gak apain verifikasi gak ,1.0
isi flazz gak nih  i try kali kali tetepp gak ,1.0
kirim ganti kartu cc bca udah bulan  gmna min ,1.0
aplikasi bca superrr lemotttt  pas jam makan siang ,1.0
butuh perban yg sat set sat set  gak butuh aplikasi berat  susah nyambung server  ,1.0
scan qris lamaaa nya karuan ,1.0
isi flazz gak nih  i try kali kali tetepp gak ,1.0
program buku rekening online bca blm dukung sistem yg pada ya  ,1.0
mbca knp error min,1.0
tolong yg bantu  saldo suami hilang gak tarik,0.0
tarik tunai duit jelek banget atm bca  daerah indomaret pademangan jakpus ,1.0
update notif masuk uang  gimana   ,1.0
top up flazz lot bgt ,1.0
bantu orang tua bikin rekening susah,1.0
top up flazz lot bgt ,1.0
mbanking lemottt transaksi lelet banget ,1.0
umkm gua pakai qris bca duit nggak masuk tekor banget ,1.0
cek saldo transfer aja susah dah  gara koneksi lambat ,1.0
aplikasi bca superrr lemotttt  pas jam makan siang ,1.0
duit guw qris ilang,1.0
program buku rekening online bca blm dukung sistem yg pada ya  ,1.0
bca umkm  iur tabung aja mahal bgt ,1.0
blu bca eror mulu dah  sinyal wifi kenceng internet jg kenceng  load ,1.0
kirim ganti kartu cc bca dah ampe bulan  gmna tracking nya ,1.0
top up flazz lot bgt ,1.0
bca umkm  iur tabung aja mahal bgt ,1.0
mbanking lemottt transaksi lelet banget ,1.0
bca bisnis yg transaksi cepet  yg lelet ,1.0
kirim ganti kartu cc bca dah ampe bulan  gmna tracking nya ,1.0
logout  gak apain verifikasi gak ,1.0
bca mobile lg eror,1.0
mbanking bca kusut nggk tarik tunai,1.0
gmn dah  verifikasi wajah ajah nggak  pdhl udh ngikutin arah  rungkad rungkad  ,1.0
isi flazz gak nih  i try kali kali tetepp gak ,1.0
bca mobile lg eror,1.0
mbanking bca kusut nggk tarik tunai,1.0
gmn dah  verifikasi wajah ajah nggak  pdhl udh ngikutin arah  rungkad rungkad  ,1.0
kirim ganti kartu cc bca dah ampe bulan  gmna tracking nya ,1.0
bca mobile lg eror,1.0
udh coba kali kalo kgk muncul dah kode otp nya,1.0
haduuuh bayar qris mbca gk ,1.0
scan qris lamaaa nya karuan ,1.0
bca mobile suraaaam error lgi ,1.0
duit guw qris ilang,1.0
clear cache  data  restart hp  tetep force close,1.0
blu bca eror mulu dah  sinyal wifi kenceng internet jg kenceng  load ,1.0
uang qris merchant nggk masuk  qris bca  gmna tuh min  ,1.0
tarik tunai duit jelek banget atm bca  daerah indomaret pademangan jakpus ,1.0
update notif masuk uang  gimana   ,1.0
pulsa habis untk daftar ,1.0
bca bisnis yg transaksi cepet  yg lelet ,1.0
nomor gw udh bener bgt  sinyal gw normal,1.0
mbanking lot transaksi lelet banget lokasi nyala ,1.0
pake mybca kadang suka deg an gtu  krna bgt eror ,1.0
bca mobile suraaaam error lgi ,1.0
pulsa habis untk daftar ,1.0
pakai bca banget trouble klw mao cek saldo transfer ,1.0
aplikasi force close  sudh coba uninstall install ulang,1.0
pake mybca kadang suka deg an gtu  krna bgt eror ,1.0
mbanking lemottt transaksi lelet banget ,1.0
mobile bca eror smlm buka gak ,1.0
nomor gw udh bener bgt  sinyal gw normal,1.0
udh coba kali kalo kgk muncul dah kode otp nya,1.0
pulsa habis untk daftar ,1.0
kgk muncul kode otp nya  kocak bgt anjirr,1.0
nomor gw udh bener bgt  sinyal gw normal,1.0
kgk muncul kode otp nya  kocak bgt anjirr,1.0
mobile bca eror smlm buka gak ,1.0
haduuuh bayar qris mbca gk ,1.0
nomor gw udh bener bgt  sinyal gw normal,1.0
clear cache  data  restart hp  tetep force close,1.0
udh coba kali kalo kgk muncul dah kode otp nya,1.0
gmn dah  verifikasi wajah ajah nggak  pdhl udh ngikutin arah  rungkad rungkad  ,1.0
bantu orang tua bikin rekening susah,1.0
mbca bgt gagal login sih  gembel bgt apk lu min ,1.0
informasi ya  setor pake uang logam koin nya gmn  maks brp ,0.0
aplikasi kocak  kode otp kasih kali kali salah mulu ujung ujung nya blokir    sempak banget ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
kali bayar tagih pke bca  eror gitu   demen bgt eror sih tae ,1.0
kali bayar tagih pke bca  eror gitu   demen bgt eror sih tae ,1.0
aplikasi kocak  kode otp kasih kali kali salah mulu ujung ujung nya blokir    sempak banget ,1.0
mbca bgt gagal login sih  gembel bgt apk lu min ,1.0
mbca bgt gagal login sih  gembel bgt apk lu min ,1.0
kelas bca aplikasi lemottttttttt bangetttt ngetttt  serius biarin aja gtu lemottt    ,1.0
kali bayar tagih pke bca  eror gitu   demen bgt eror sih tae ,1.0
bca blokir gara gara sempet loat konek merah ,1.0
bca blokir gara gara sempet loat konek merah ,1.0
baik  gimana sih bca  dibutuhin tau,1.0
kelas bca aplikasi lemottttttttt bangetttt ngetttt  serius biarin aja gtu lemottt    ,1.0
kelas bca aplikasi lemottttttttt bangetttt ngetttt  serius biarin aja gtu lemottt    ,1.0
fixing versi web nya  export mutasi logout mulu   trs hrs nunggu menit  kali kali waiting time bgt ,1.0
bca blokir gara gara sempet loat konek merah ,1.0
bca skrg klau buka aplikasi nyalahin lokasi gitu  bikin ribet aja boros batre hp ,1.0
aplikasi lemotttt  otp bayar   payahhh,1.0
bayar qris struk gk sampe sedot x ,1.0
sulit bgt dah verifikasi wajah  ilangin aja lahh  ribet bgt ,1.0
bca jelek  bagus ,1.0
wahhh gilaaa gilaaaa    gak salah tuh debit card biru potong adminya rb   ,1.0
aplikasi bca cuman nya ngabisin pulsa aja,1.0
astaga lemott bgt  tarik tunai cardless lemottnya ,1.0
bca gk proses dgn cepat  nasabah palakin doang biaya bulan ,1.0
admin bulan gede sih bca ,1.0
update gagal verifikasi  kalo utk update jgn update ,1.0
umkm nggak maju bca banyak embel potong ,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
admin bulan gede sih bca ,1.0
crash  not responding ulang kali restart    ribet,1.0
emng update ios yg spek  modalin lahh biat beli hp   ,1.0
jelek bgt apk nya bca  aja blokir pdhl lgi ngga apain    ,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
semlm sudh baik skrng bgtu sih   sempurna baik nya  ,1.0
bayar qris struk gk sampe sedot x ,1.0
crash  not responding ulang kali restart    ribet,1.0
bca jelek  bagus ,1.0
narik uang rb aja bikin susah kang parkir ,1.0
astaga lemott bgt  tarik tunai cardless lemottnya ,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
wahhh gilaaa gilaaaa    gak salah tuh debit card biru potong adminya rb   ,1.0
crash  not responding ulang kali restart    ribet,1.0
wahhh gilaaa gilaaaa    gak salah tuh debit card biru potong adminya rb   ,1.0
semlm sudh baik skrng bgtu sih   sempurna baik nya  ,1.0
wahhh gilaaa gilaaaa    gak salah tuh debit card biru potong adminya rb   ,1.0
atm bca dmna-mana tukang parkir liar  rugi bgt ,1.0
bayar pake qris bca bikin malu  udah scan hasil ngga masuk merchant ,1.0
narik uang rb aja bikin susah kang parkir ,1.0
bayar qris struk gk sampe sedot x ,1.0
atur bca aneh aneh banget pakai hidup lokasi muak banget dgn bca ,1.0
